rule,input_version,authority,verdict,reason,source_ids,case_ids
R22,1.0.0,corpus_policy,hält,"Exakte Quell-, Kontext-, Regel- und Sollversionen sind nötig. Änderungen erzeugen einen Reviewbedarf. Hashes belegen Integrität, nicht fachliche Wahrheit; noch fehlende Kontexthashes sind eine Umsetzungslücke.",S19,CC-001–CC-060
R23,1.0.0,sap_semantics,hält,"Grenzwerte, Währung und vorgelagerte Abbrüche müssen in Fachsätzen erhalten bleiben. Auch ein korrektes numerisches Prädikat liefert ohne Währung keine EUR-Aussage.",S12,"CC-025,CC-053,CC-060"
R24,1.0.0,sap_semantics,hält,GET/CALL BADI allein beweist keine konkrete aktive Einzelimplementierung. Die Bindungsmetadaten bleiben eigenständige Evidenz; keine universelle Herabstufung klassischer BAdIs.,"S01,S28","CC-009,CC-010"
R25,2.0.0,sap_semantics,hält nicht,"SAP-LUW, Datenbank-LUW, Verbuchungsanstoß, Ausführungsmodus und bestätigte Persistenz werden vermischt. Nicht jeder Programm-/Screenaufruf committet; DB-Commit ist kein automatisches COMMIT WORK. Registrierung ohne Anstoß ist nicht gleich vollständige Wirkungslosigkeit.","S05,S06,S07,S08,S09,S24","CC-026,CC-027,CC-028,CC-030,CC-031,CC-032,CC-033,CC-055,CC-056"
R26,2.0.0,corpus_policy,hält nicht,"Ein möglicher Worst Case darf nicht known_worst heißen. Dynamisches WHERE verändert nicht automatisch die bekannte FROM-Zielmenge. Unbekannt, beobachtet und vorsorgliche Obergrenze sind drei unterschiedliche Aussagen.","S01,S10","CC-037,CC-038"
R27,2.0.0,corpus_policy,hält nur unter Bedingung,"Statementanker plus Offset ist sinnvoll, aber Tokenisierung muss normiert werden. Kettenelement, Makroexpansionspfad und Ausdrucksarm brauchen zusätzliche IDs; eine Makroaufrufstelle kann mehrere Wirkungsstellen enthalten.",Korpuskonvention,"CC-007,CC-008,CC-042,CC-043,CC-044,CC-060"
R28,2.0.0,corpus_policy,hält nicht,"Die separate Sicherheitsachse ist richtig, die pauschalen Befunde sind es nicht: CLIENT SPECIFIED erlaubt expliziten Mandantenfilter; LOCAL MODE kann bestimmungsgemäß sein; gebundene Eingabe ist keine Textinjektion; gespeicherter sy-subrc kann später wirksam geprüft werden. Verbot und Nachfolger sind verschiedene Felder.","S10,S11,S14,S17,S18","CC-034,CC-035,CC-038,CC-049,CC-050,CC-051,CC-052,CC-059"
R29,2.0.0,sap_interpretation,hält nur unter Bedingung,Typreferenzen sind eigenständige DDIC-Abhängigkeiten; ein Lese-CDS ist kein mechanischer Typersatz. Level erst nach Objekt-/Release-/Nominationkontext; NODES/GET brauchen zusätzlich LDB-Bindung.,"S01,S16,S19","CC-045,CC-047,CC-053"
R30,2.0.0,corpus_policy,hält nur unter Bedingung,"C1 kann eine zulässige Konsumentengrenze bilden. Dafür Zustand, Vertrag, Usage Visibility, Sprachversionen und Signatur prüfen. Komponentenlevel und Gesamt-/transitiver Scope dürfen nicht unter derselben Levelspalte unterschiedlich aggregiert werden.","S01,S02,S04",CC-060
R31,2.0.0,corpus_policy,hält,"Quelle plus explizites Zielprofil ist gegenüber einer Code-only-Antwort richtig. Der Schlüssel muss um bewerteten Scope und objektbezogene Sprach-/Freigabemetadaten ergänzt werden. Profilpaare dürfen mehrere Dimensionen wechseln, dann aber keine Ein-Faktor-Kausalität behaupten.","S02,S19","CC-057,CC-058,CC-059,CC-060"
R32,2.0.0,sap_semantics,hält nicht,"Namen und Marker liefern Hinweise, nicht das Level D. Klassische nominierte Userexits/BAdIs können B sein; explizite, implizite und echte Modifikationen unterscheiden. Source-Bytes allein identifizieren ein Include nicht als MV45AFZZ.","S01,S20,S25","CC-010,CC-053,CC-054"
R33,2.0.0,sap_semantics,hält nur unter Bedingung,Ereignisorientierung und kontextabhängiges CHECK sind richtig. Reportereignisse sind kein stets vollständig durchlaufener linearer Ablauf; GET/CHECK kann den LDB-Unterbaum unterdrücken. Ereignisbedingungen und Wiedereintritte gehören zum Vertrag.,S16,"CC-046,CC-047,CC-048"
R34,2.0.0,corpus_policy,hält nicht,"An einer opaken Grenze endet die Kenntnis der internen Logik, nicht zwingend der Kontrollfluss des Aufrufers. AND RETURN, synchrone Rückkehr und asynchrone Fortsetzung sind zu erhalten; Transaktionseffekte separat nach korrigiertem R25. CC-056 zeigt selbst eine Rückkehrkante; die Korpusinstanz ist an dieser Stelle präziser als der pauschale Regelwortlaut.","S06,S07,S24","CC-031,CC-032,CC-055,CC-056"
